code,symbol,extraCodes,extraSyms
0,circle,27,circle-cross
1,square,28,circle-x
2,diamond,29,square-cross
3,cross,30,square-x
4,x,31,diamond-cross
5,triangle-up,32,diamond-x
6,triangle-down,33,cross-thin
7,triangle-left,34,x-thin
8,triangle-right,35,asterisk
9,triangle-ne,36,hash
10,triangle-se,37,y-up
11,triangle-sw,38,y-down
12,triangle-nw,39,y-left
13,pentagon,40,y-right
14,hexagon,41,line-ew
15,hexagon2,42,line-ns
16,octagon,43,line-ne
17,star,44,line-nw
18,hexagram,,
19,star-triangle-up,,
20,star-triangle-down,,
21,star-square,,
22,star-diamond,,
23,diamond-tall,,
24,diamond-wide,,
25,hourglass,,
26,bowtie,,
100,circle-open,,
101,square-open,,
102,diamond-open,,
103,cross-open,,
104,x-open,,
105,triangle-up-open,,
106,triangle-down-open,,
107,triangle-left-open,,
108,triangle-right-open,,
109,triangle-ne-open,,
110,triangle-se-open,,
111,triangle-sw-open,,
112,triangle-nw-open,,
113,pentagon-open,,
114,hexagon-open,,
115,hexagon2-open,,
116,octagon-open,,
117,star-open,,
118,hexagram-open,,
119,star-triangle-up-open,,
120,star-triangle-down-open,,
121,star-square-open,,
122,star-diamond-open,,
123,diamond-tall-open,,
124,diamond-wide-open,,
125,hourglass-open,,
126,bowtie-open,,
127,circle-cross-open,,
128,circle-x-open,,
129,square-cross-open,,
130,square-x-open,,
131,diamond-cross-open,,
132,diamond-x-open,,
133,cross-thin-open,,
134,x-thin-open,,
135,asterisk-open,,
136,hash-open,,
137,y-up-open,,
138,y-down-open,,
139,y-left-open,,
140,y-right-open,,
141,line-ew-open,,
142,line-ns-open,,
143,line-ne-open,,
144,line-nw-open,,
200,circle-dot,,
201,square-dot,,
202,diamond-dot,,
203,cross-dot,,
204,x-dot,,
205,triangle-up-dot,,
206,triangle-down-dot,,
207,triangle-left-dot,,
208,triangle-right-dot,,
209,triangle-ne-dot,,
210,triangle-se-dot,,
211,triangle-sw-dot,,
212,triangle-nw-dot,,
213,pentagon-dot,,
214,hexagon-dot,,
215,hexagon2-dot,,
216,octagon-dot,,
217,star-dot,,
218,hexagram-dot,,
219,star-triangle-up-dot,,
220,star-triangle-down-dot,,
221,star-square-dot,,
222,star-diamond-dot,,
223,diamond-tall-dot,,
224,diamond-wide-dot,,
236,hash-dot,,
300,circle-open-dot,,
301,square-open-dot,,
302,diamond-open-dot,,
303,cross-open-dot,,
304,x-open-dot,,
305,triangle-up-open-dot,,
306,triangle-down-open-dot,,
307,triangle-left-open-dot,,
308,triangle-right-open-dot,,
309,triangle-ne-open-dot,,
310,triangle-se-open-dot,,
311,triangle-sw-open-dot,,
312,triangle-nw-open-dot,,
313,pentagon-open-dot,,
314,hexagon-open-dot,,
315,hexagon2-open-dot,,
316,octagon-open-dot,,
317,star-open-dot,,
318,hexagram-open-dot,,
319,star-triangle-up-open-dot,,
320,star-triangle-down-open-dot,,
321,star-square-open-dot,,
322,star-diamond-open-dot,,
323,diamond-tall-open-dot,,
324,diamond-wide-open-dot,,
336,hash-open-dot,,
